,annot,count
2,Eyes Closed,287869
4,Eyes Open,170526
13,Movement,139518
7,Off,139101
45,Head Center,88217
34,Drowsy,72977
18,Swallow,61674
86,Asleep,39377
3,Awake,37341
84,Gain/Filter Change,29945
47,Pt Talking,28666
41,Noise,28289
29,Bookmark,27152
20,Encourage,26917
33,Montage:TRANSVERSE BIPOLAR,21827
5,Montage:DOUBLE BANANA,20490
39,Montage:SLEEP,19914
30,SWALLOW,18249
42,"Montage:DOUBLE BANANA, AUX1..Channel Sta",17589
170,Muscle Artifact,17484
32,MOVEMENT,17145
40,Montage:AVERAGE REFERENCE,15935
26,GOOD EFFORT,15314
0,Start Recording,14910
6,1.0 Hz,14214
8,3.0 Hz,13939
11,12.0 Hz,13921
12,15.0 Hz,13899
9,6.0 Hz,13590
10,9.0 Hz,13566
14,18.0 Hz,13543
15,21.0 Hz,13491
16,25.0 Hz,13479
17,30.0 Hz,13462
36,Montage:TEMPORAL BIPOLAR,13011
103,Resting quietly,11879
79,Impedance at 5 kOhm,10986
44,Impedance at 10 kOhm,9901
19,Hyperventilation begins,9251
21,HV 1 Min,9155
27,Post HV 30 Sec,9136
28,Post HV 60 Sec,9121
31,Post HV 90 Sec,9111
22,HV 2 Min,9105
23,HV 3 Min,9077
25,End HV,9036
83,SNORE,7953
88,Sens 7,7607
105,EEG SENS 7,6197
43,Video Recording ON,6128
187,Artifact,6011
87,SNORING,5463
123,Stop Recording,5445
99,EC,5341
116,LIGHT SLEEP,5148
281,MOVT,4807
386,Pt Resting Quietly,4697
35,DROWSY,4686
89,self alert,4524
78,"Montage:IPSI EAR REFERENCE, AUX1..Channe",4250
58,CORRECT,4233
114,Montage:IPSI EAR REFERENCE,4100
344,Yawning,3461
272,EYES ARE OPEN,3366
137,Snore,3362
420,Patient Resting Quietly,3240
138,Self Alert,3132
257,Snoring,2945
339,X,2805
487,L F-T SLOW,2674
298,EYES OPEN,2648
320,ASLEEP,2605
80,sens 7,2603
121,HEAD MIDLINE EC,2496
109,ec,2344
100,EYE MOVTS,2307
24,HV 4 Min,2305
501,COUGHING,2291
256,NOISE,2087
448,Light Sleep,2070
524,RELAX JAW,2036
534,eo,2025
407,MOUTH MOVT,1921
452,EYES CLOSED,1920
1269,clenches jaw,1916
398,WILL SET UP PHOTIC,1878
92,Peeking,1869
474,EEG SENS 10,1775
117,TALK TO PT,1721
973,Cough,1711
156,Sigh,1704
81,sniff,1697
406,Coughing,1648
284,YAWN,1627
53,Resp Movement,1611
163,HEAD LEFT,1555
162,EO,1549
264,HEAD MOVT,1538
158,TALKING,1534
1238,R F-T SLOW,1516
134,EXPLAIN HV,1507
1228,LT,1426
266,COUGH,1413
347,RESTING QUIETLY,1412
260,SIGH,1408
249,BLINKING,1387
432,PT TALKING,1378
190,Sniff,1324
169,ARTIFACT,1287
74,J,1279
465,HEAD RIGHT,1263
82,good effort,1164
428,SENS 7,1152
676,Good Effort,1113
273,GREAT EFFORT,1100
244,HV 5 Min,1072
1,"Montage:IPSI EAR REFERENCE, AUX1",1048
160,SENS 10,1037
309,START PS,1030
522,WELL DONE,981
450,LIGHTS ON,980
440,LIGHTS OFF,974
269,RESP MOVEMENT,964
4469,NCS,930
290,EYES ARE CLOSED,930
567,Montage:TIED EAR REFERENCE,926
650,Jerk,923
135,RT,917
431,REMOVING PS LAMP,893
259,AROUSING PT,891
314,GOOD EFFORT HV,860
132,SET UP PS,851
1116,YAWNING,827
1347,START,827
1052,GEN SLOW,815
527,MOVTS,809
1011,CRYING,790
964,60 HZ ON,781
528,MOUTH MOVTS,765
1489,Crying,765
308,CITY?,761
55,Clears Throat,751
1288,Sens 10,749
525,BI-F-T SLOW,746
5311,T,740
59,DATE?,726
306,DATE TODAY?,725
94,PT RESTING QUIETLY,703
131,STOP,692
262,EEG SENS 15,683
2271,EC NOW,680
690,Lying quiet and Still,675
118,DROWSY EC HEAD MIDLINE EEG SENS 7,675
1252,EYE MOVT,675
1044,ENCOURAGE,667
317,ENC RELAXATION,663
96,AWAKE EC HEAD MIDLINE EEG SENS 7,662
1622,TECH TALKING,657
305,ASK PT BDAY,653
315,PT BREATHING NORMALLY,644
497,L TEMP SLOW,634
1428,VERY GOOD EFFORT,634
70,H,630
140,DOB?,626
405,PT OPENS EYES,624
425,MUSCLE,619
1212,NO RESPONSE,599
422,Recording Analyzer - ECG,596
321,SELF ALERT,589
1202,sens 10,582
1535,movement,573
1470,PT COUNTING,572
652,PT OPENED EYES,549
495,CLEAR THROAT,543
731,laughing,530
113,VERY DROWSY,528
2001,Licking Lips,525
255,ABBOTSFORD,525
2420,moving,512
832,MUSCLE ARTIFACT,511
696,EXCELLENT EFFORT,509
346,AWAKE,508
423,ASK PT TO RELAX JAW,503
1330,Sens 5,501
1236,NCC,494
183,HEAD SLIGHTLY LEFT,489
1625,R,488
526,WILL ALERT PT NOW,484
