,annot,count
11,Eyes Closed,93604
28,Off,63500
6,Eyes Open,54240
14,Drowsy,27253
7,Head Midline,24975
10,Movement,23319
8,Awake,18989
5,Gain/Filter Change,15737
1,Start Recording,10943
23,Resting quietly,9564
12,Montage:Lab1----AP Bipolar,9100
16,Asleep,8680
15,Montage:Lab1---Trans Bipolar,8528
48,Stop Recording,7863
90,Swallow,7436
27,1.0 Hz,7051
33,15.0 Hz,6733
25,Montage:Lab1---AP Bipolar,6636
74,Montage:blank lines,6468
29,3.0 Hz,5758
31,9.0 Hz,5697
32,12.0 Hz,5658
34,18.0 Hz,5635
35,21.0 Hz,5631
3,Impedance at 10 kOhm,5049
30,6.0 Hz,4617
36,25.0 Hz,4567
37,30.0 Hz,4563
17,"Montage:Lab1---Ipsi. Ear Ref., AUX1",4275
51,Resting quiet,4206
2,Video Recording ON,3824
44,good effort,3794
115,XLSpike,3641
41,HV 1Min,3215
45,Post HV 30 Sec,3112
26,xx,3107
46,Post HV 60 Sec,3103
47,Post HV 90 Sec,3097
0,"Montage:Lab1---Ipsi. Ear Ref., Common..C",2958
13,Patient Talking,2747
38,mv,2396
97,head midline,2369
118,encourage,2310
70,Montage:DOUBLE BANANA,2198
78,5.0 Hz,2152
206,eyes closed,1958
75,Montage:TRANSVERSE,1930
76,Montage:IPSI MONOPOLAR,1863
64,Hyperventilation begins,1709
65,HV2Min,1623
19,Started Analyzer - XLSpike,1615
66,End HV,1590
43,HV End,1588
39,HV Begin,1587
4,notch=on,1585
42,HV 2Min,1532
50,Montage:Lab1---Ipsi. Ear Ref.,1505
69,Impedance at 25 kOhm,1491
194,ec,1447
18,Started Analyzer - XLEvent / ECG,1412
415,eo,1405
157,EEG arousal,1312
21,Impedance at 5 kOhm,1277
288,x,1153
79,7.0 Hz,1094
80,11.0 Hz,1085
81,13.0 Hz,1084
77,"Montage:IPS, AUX1",1083
82,17.0 Hz,1080
83,19.0 Hz,1073
72,movement,1071
102,10.0 Hz,1063
121,Lab Noise,1032
156,Montage:IPS,1024
103,"Montage:EEG32 - XLDetect, AUX1",1010
68,"Montage:blank lines, AUX1",953
333,Cough,913
160,drowsy,900
24,talk,891
197,"Montage:DOUBLE BANANA, AUX1",860
397,resting quietly,845
100,talking,827
213,awake,824
163,swallow,790
244,cough,761
120,good effort throughout,706
596,head right,684
338,asleep,671
123,"Montage:EEG32 - XLDetect, AUX1..Channel ",658
119,good start,655
436,eyes open,628
9,dec sens=10,619
158,resting q,607
89,head left,563
153,"Montage:blank lines, Common",540
245,"Montage:Lab1---Ipsi. Ear Ref., Common",500
98,move,500
87,eyes are open,493
110,Started Analyzer - CSA,480
405,noise,478
519,pt talking,434
375,yawn,400
607,XLEvent,397
421,snoring,387
85,Channels On/Off..Channel Status Set Manu,385
340,Resting Quietly,382
95,tech checking leads,378
117,dec sens=15,375
251,1/2 hyper,371
474,pop,370
253,2 1/2 hyper,361
101,moving,359
252,1 1/2 hyper,349
211,date today,340
209,spelling last name,337
341,artifact,330
154,"Montage:DOUBLE BANANA, Common",329
210,dob,323
52,sens 10,320
306,correct,317
829,Montage:GM Linked EARS,316
249,"Montage:Lab1---Ipsi. Ear Ref., AUX1..Cha",314
1459,XXX,304
193,Recording Analyzer - CSA,284
543,pt resting quietly,279
122,"Montage:IPS, Common",278
2683,Video System Error,269
1681,xxx,266
113,arrousal,264
336,coughing,256
831,MOVE,255
256,stop well done,253
223,swallows,252
108,Montage:STRAIGHT LINE,246
1124,eye movt,243
260,Artifact,240
192,Started Analyzer - ECG,240
162,going to wake up pt,239
1870,Slowing,234
196,XX,229
20,Headbox Disconnecting,223
373,set up IPS now,221
183,Montage:GM Average,218
178,eye movements,218
105,Started Analyzer - XLEvent,204
1015,jerk,204
515,supine - head midline - ec - awake,203
673,coma,202
88,inc sens=10,196
22,Headbox Reconnected,189
67,fair effort,181
294,inc sens=7,180
624,Montage:LM- AVERAGE,178
215,encourage pt,175
1085,Montage:BLANK,173
715,let pt rest now,171
345,head mv,169
462,restless,165
255,Recording Analyzer - XLEvent,164
350,Stopped Analyzer - CSA,157
303,date?,157
128,driving,156
1110,pt resting queitly,153
1192,eyes are closed,152
125,eyes were open,151
678,no withd,148
257,"Montage:TRANSVERSE, AUX1",144
242,Video Recording OFF,140
176,GOOD EFFORT CONT ,139
161,head middle,135
748,eye flutter,135
509,good overall effort for 3mins,135
261,Snore,133
687,explain HV now,132
571,emg,132
970,r,131
494,chewing,130
916,Noise,130
283,"Montage:IPSI MONOPOLAR, AUX1",129
689,NCS,128
621,moves,126
892,birthdate,120
1000,laughing,117
993,nil to note,116
653,HEAD MIDLINE,114
1508,HEAD CENTER,114
1207,EO,112
339,stop moderate effort,112
932,eye mvmnt,112
2691,great effort,112
328,muscle,112
484,eyes half open,108
1136,obtunded,108
127,sigh,106
295,"Montage:surface sphenoidals, AUX1",103
250,good effort through,102
104,"Montage:EEG32 - XLDetect, A1A2..Channel ",102
791,NOISE,102
2361,intubated,101
57,set up photic,101
407,light sleep,100
479,decreasing EKG sens,97
1611,Event,97
1099,city?,96
695,sighs,95
4704,good effort cont ,95
182,NOISE ,94
513,set up IPS,93
291,checking leads,93
414,snore,93
198,HV 2 1/2 MIN,92
224,yawning,91
885,head mid,91
1195,good effort continues,90
49,"Montage:Channel Test Referential, AUX1",89
202,ARTIFACT,88
358,burnaby,88
2591,Montage:Bipolar vk,88
867,will alert again now,85
606,HV 1 1/2 MIN,84
888,hm,84
1338,Montage:Cz reference,84
1120,stop,83
286,MOVING,83
1146,moving head,83
140,E,82
142,F,82
20108,HC,81
809,MOVEMENT,81
1239,tech giving Pt blanket,81
1467,decreasing sens=10,80
1202,EC,80
580,Montage:anterior polor,78
351,hv 1/2 min,78
770,i,77
2958,eyes clsoed,76
608,STOP WELL DONE,74
605,HV 1/2 MIN,74
352,hv 1 1/2 min,73
107,Montage:double banana,72
134,CORRECT,72
459,mouth mvts,71
1089,peeking,70
617,peeks,70
1194,smiling,69
144,G,69
505,dec EKG sens,69
139,NAME ANIMAL,69
135,DATE?,69
564,coughs,68
434,where are we,68
343,hv 2 1/2 min,67
662,Light Sleep,67
411,set-up photic,67
657,self arousal,66
680,lt,65
1513,ENCOURAGE,65
526,supine - head midline - ec - awake/drows,64
3251,b,63
2579,snort,61
2961,lt temp,61
292,will do reactive later,60
1773,set up ps,60
682,sesn 10,59
1169,mvmt,59
628,peek,58
290,will do reactive test later,57
1946,shaking,57
761,call pt by name,57
824,laugh,56
679,rt,56
1520,light snoring,56
1683,drowsy at times,56
823,wake up pt,55
585,dob?,55
146,H,55
1582,Montage:Channel Test Referential,55
1111,clears throat,54
360,sens 15,54
366,head slightly right,54
3248,B,54
5128,good effort hv,54
1440,explain HV,53
1077,"Montage:BLANK, AUX1",53
2568,NIL TO NOTE ,52
792,SNORING,52
1082,Montage:BHBIPOLAR,52
1986,will let pt rest now,52
1743,supine - head midline - ec - drowsy,52
1252,groaning,51
362,no HV,51
2167,Eye Movements,51
1128,sw,50
10205,ncs,50
1998,lying on right side,49
872,"Montage:TRANSVERSE, Common",49
1888,**TAG**,48
3711,Spike,48
610,X,48
1203,smile,47
1216,resting,46
3178,Montage:LB-16.1 Longitudinal Bipolar for,46
1090,blinking,46
578,explain hv,45
722,snores,45
763,pain stim,45
187,VOICES OUTSIDE ,45
1460,Montage:CONTRA MONOPOLAR,45
864,10Hz,45
2681,rolling head,45
1941,poor effort,44
5731,sedated,44
1083,QUIET,44
270,SET UP PS,44
1754,twitch,44
1093,mouth mv,44
546,moving legs,43
2799,"Montage:blank lines, Common..Channel Sta",43
4800,sniff,43
587,ELEPHANT,43
4532,nil to note ,43
868,nodding head,43
188,BACK TO BIPOLAR FOR PS ,42
704,open mouth,42
167,LAST TIME OF MEAL? ,42
1453,head center,42
3193,is emg,41
1615,naming animals,41
2056,self alerted,41
1091,tech checking A2,41
150,THINKING,41
1565,TALKING,40
398,relax jaw,40
612,9Hz,40
1086,Montage:MONOPOLAR,40
540,deep breath,40
3066,Montage:LM AVERAGE,40
106,"Montage:STRAIGHT LINE, A1A2..Channel Sta",40
821,notch on,40
463,no effort,39
536,head slightly left,39
302,L,39
433,year,39
402,alerts,39
541,moving arms,38
998,mvmnt,38
3238,clear throat,38
3175,inc sens=5,38
199,STOP MODERATE EFFORT,38
1081,Recording Analyzer - XLSpike,38
2637,noise ,38
1114,scratching face,38
675,call pt,38
4441,Montage:LB-18.1 Longitudinal Bipolar for,38
783,MOVEMENT ,37
1708,sens 5,37
133,DOB?,37
2279,eye closed,37
2649,talking ,37
654,1/2 HYPER,37
1013,noise outside,36
562,snoring lightly,36
5381,R>L,36
6605,"Montage:BHBIPOLAR, AUX1",36
656,2 1/2 HYPER,36
508,headm idline,36
2239,left,36
1423,licks lips,36
10862,Montage:Spacer,35
1462,"Montage:surface sphenoidals, Common",35
926,Stopped Analyzer - XLSpike,35
2652,SWALLOW,35
1666,SSS,35
581,scratching,35
1838,call name,35
2578,asleep?,35
1851,aphasic,34
148,I,34
655,1 1/2 HYPER,34
4695,Bookmark,34
6453,self alerts,34
258,"Montage:IPSI MONOPOLAR, Common",34
2188,moving hands,34
573,LAUGHING,33
1465,eye movement,33
2061,movment,33
109,Montage:TB-18.1 Transverse Bipolar for 1,33
1702,mumbling,33
399,muscle artifact,33
331,self alert,33
305,birthday?,33
4172,resp,33
307,location?,33
9444,5 uv/mm,33
757,GIRAFFE,33
502,Pt very drowsy,32
6855,Montage:DOUBLE DISTANCE,32
2970,yawns,32
1516,GOOD EFFORT,32
2735,pt moving,32
1012,good effort in HV,32
1188,no response,32
175,GOOD EFFORT TO START ,32
195,Spike & Wave,32
3517,s,32
143,FOX,32
4041,lightly snoring,31
5384,last name,31
3684,L>R,31
408,very drowsy,31
3278,p,31
1943,stopped,31
1605,tech checking T4,31
923,Stopped Analyzer - ECG,31
1080,Recording Analyzer - aEEG,30
2055,snoring softly,30
4286,is drowsy,30
349,shaking head,30
886,rq,30
177,ENCOURAGE ,30
1079,Recording Analyzer - Data Trends,30
1078,Recording Analyzer - XLEvent / ECG,30
1574,ADJUST EKG SENS ,30
1679,sens to 5,29
2120,lots of muscle,29
1733,grimace,29
1199,will alert now,29
1283,is awake,29
164,ALERTING FOR PDR ,29
4039,sniffles,29
99,moving talking,29
694,will alert pt again now,28
301,diffuse beta,28
429,head mvmt,28
3016,moaning,28
10451,"HEAD MIDLINE, EYES CLOSED, RESTING QUIET",28
8060,Head Left,28
3756,crying,28
274,2018,28
1994,tech checking EKG leads,28
688,good effort ,28
254,stop very poorly done,28
2417,continues resting quietly,28
895,peeked,28
174,INSTRUCTIONS FOR HV ,28
924,Montage:EEG32 - XLDetect,28
674,going to do reactive test,28
6757,some head mvts with good effort,28
5773,COUGHING,27
925,Stopped Analyzer - XLEvent,27
2036,tense,27
819,Blink,27
5894,rt temp,27
1617,lion,27
1671,noises,27
4114,labored breathing,27
2549,head movement,27
949,thinking,26
1477,some ekg contamination,26
5817,clicking teeth,26
812,HANDEDNESS? ,26
2593,counting,26
1819,naming months,26
60,15,26
1447,alerted,26
1507,turning EKG off,26
3542,Montage:GM Transverse BBY,26
4752,"Montage:Lab1----AP Bipolar, AUX1",26
3307,fair to good effort,25
3741,year?,25
1494,"Montage:double banana, A1A2..Channel Sta",25
4520,movement ,25
410,stretching,25
3501,all done now,25
1068,back to sleep,25
406,lsleep,25
3061,11Hz,25
1365,sweat sway,25
1525,month,25
165,HANDEDNESS?,25
129,DRIVING,25
2918,beta,25
1720,noises outside,25
4498,coughing ,24
10888,note,24
1640,will alert,24
1980,decreasing sens=15,24
3315,sharp,24
1131,count to alert pt,24
3567,eys closed,24
1152,rubbing face,24
