ch_num,name
ch0,G_Ins_lg_and_S_cent_ins-lh
ch1,G_Ins_lg_and_S_cent_ins-rh
ch2,G_and_S_cingul-Ant-lh
ch3,G_and_S_cingul-Ant-rh
ch4,G_and_S_cingul-Mid-Ant-lh
ch5,G_and_S_cingul-Mid-Ant-rh
ch6,G_and_S_cingul-Mid-Post-lh
ch7,G_and_S_cingul-Mid-Post-rh
ch8,G_and_S_frontomargin-lh
ch9,G_and_S_frontomargin-rh
ch10,G_and_S_occipital_inf-lh
ch11,G_and_S_occipital_inf-rh
ch12,G_and_S_paracentral-lh
ch13,G_and_S_paracentral-rh
ch14,G_and_S_subcentral-lh
ch15,G_and_S_subcentral-rh
ch16,G_and_S_transv_frontopol-lh
ch17,G_and_S_transv_frontopol-rh
ch18,G_cingul-Post-dorsal-lh
ch19,G_cingul-Post-dorsal-rh
ch20,G_cingul-Post-ventral-lh
ch21,G_cingul-Post-ventral-rh
ch22,G_cuneus-lh
ch23,G_cuneus-rh
ch24,G_front_inf-Opercular-lh
ch25,G_front_inf-Opercular-rh
ch26,G_front_inf-Orbital-lh
ch27,G_front_inf-Orbital-rh
ch28,G_front_inf-Triangul-lh
ch29,G_front_inf-Triangul-rh
ch30,G_front_middle-lh
ch31,G_front_middle-rh
ch32,G_front_sup-lh
ch33,G_front_sup-rh
ch34,G_insular_short-lh
ch35,G_insular_short-rh
ch36,G_oc-temp_lat-fusifor-lh
ch37,G_oc-temp_lat-fusifor-rh
ch38,G_oc-temp_med-Lingual-lh
ch39,G_oc-temp_med-Lingual-rh
ch40,G_oc-temp_med-Parahip-lh
ch41,G_oc-temp_med-Parahip-rh
ch42,G_occipital_middle-lh
ch43,G_occipital_middle-rh
ch44,G_occipital_sup-lh
ch45,G_occipital_sup-rh
ch46,G_orbital-lh
ch47,G_orbital-rh
ch48,G_pariet_inf-Angular-lh
ch49,G_pariet_inf-Angular-rh
ch50,G_pariet_inf-Supramar-lh
ch51,G_pariet_inf-Supramar-rh
ch52,G_parietal_sup-lh
ch53,G_parietal_sup-rh
ch54,G_postcentral-lh
ch55,G_postcentral-rh
ch56,G_precentral-lh
ch57,G_precentral-rh
ch58,G_precuneus-lh
ch59,G_precuneus-rh
ch60,G_rectus-lh
ch61,G_rectus-rh
ch62,G_subcallosal-lh
ch63,G_temp_sup-G_T_transv-lh
ch64,G_temp_sup-G_T_transv-rh
ch65,G_temp_sup-Lateral-lh
ch66,G_temp_sup-Lateral-rh
ch67,G_temp_sup-Plan_polar-lh
ch68,G_temp_sup-Plan_polar-rh
ch69,G_temp_sup-Plan_tempo-lh
ch70,G_temp_sup-Plan_tempo-rh
ch71,G_temporal_inf-lh
ch72,G_temporal_inf-rh
ch73,G_temporal_middle-lh
ch74,G_temporal_middle-rh
ch75,Lat_Fis-ant-Horizont-lh
ch76,Lat_Fis-ant-Horizont-rh
ch77,Lat_Fis-ant-Vertical-lh
ch78,Lat_Fis-ant-Vertical-rh
ch79,Lat_Fis-post-lh
ch80,Lat_Fis-post-rh
ch81,Pole_occipital-lh
ch82,Pole_occipital-rh
ch83,Pole_temporal-lh
ch84,Pole_temporal-rh
ch85,S_calcarine-lh
ch86,S_calcarine-rh
ch87,S_central-lh
ch88,S_central-rh
ch89,S_cingul-Marginalis-lh
ch90,S_cingul-Marginalis-rh
ch91,S_circular_insula_ant-lh
ch92,S_circular_insula_ant-rh
ch93,S_circular_insula_inf-lh
ch94,S_circular_insula_inf-rh
ch95,S_circular_insula_sup-lh
ch96,S_circular_insula_sup-rh
ch97,S_collat_transv_ant-lh
ch98,S_collat_transv_ant-rh
ch99,S_collat_transv_post-lh
ch100,S_collat_transv_post-rh
ch101,S_front_inf-lh
ch102,S_front_inf-rh
ch103,S_front_middle-lh
ch104,S_front_middle-rh
ch105,S_front_sup-lh
ch106,S_front_sup-rh
ch107,S_interm_prim-Jensen-lh
ch108,S_interm_prim-Jensen-rh
ch109,S_intrapariet_and_P_trans-lh
ch110,S_intrapariet_and_P_trans-rh
ch111,S_oc-temp_lat-lh
ch112,S_oc-temp_lat-rh
ch113,S_oc-temp_med_and_Lingual-lh
ch114,S_oc-temp_med_and_Lingual-rh
ch115,S_oc_middle_and_Lunatus-lh
ch116,S_oc_middle_and_Lunatus-rh
ch117,S_oc_sup_and_transversal-lh
ch118,S_oc_sup_and_transversal-rh
ch119,S_occipital_ant-lh
ch120,S_occipital_ant-rh
ch121,S_orbital-H_Shaped-lh
ch122,S_orbital-H_Shaped-rh
ch123,S_orbital_lateral-lh
ch124,S_orbital_lateral-rh
ch125,S_orbital_med-olfact-lh
ch126,S_orbital_med-olfact-rh
ch127,S_parieto_occipital-lh
ch128,S_parieto_occipital-rh
ch129,S_pericallosal-lh
ch130,S_pericallosal-rh
ch131,S_postcentral-lh
ch132,S_postcentral-rh
ch133,S_precentral-inf-part-lh
ch134,S_precentral-inf-part-rh
ch135,S_precentral-sup-part-lh
ch136,S_precentral-sup-part-rh
ch137,S_suborbital-lh
ch138,S_suborbital-rh
ch139,S_subparietal-lh
ch140,S_subparietal-rh
ch141,S_temporal_inf-lh
ch142,S_temporal_inf-rh
ch143,S_temporal_sup-lh
ch144,S_temporal_sup-rh
ch145,S_temporal_transverse-lh
ch146,S_temporal_transverse-rh
