Schaefer2018_400Parcels_17Networks_order atlas,
Labels ,n_vertices
17Networks_LH_ContA_Cingm_1-lh,11
17Networks_LH_ContA_IPS_1-lh,6
17Networks_LH_ContA_IPS_2-lh,7
17Networks_LH_ContA_IPS_3-lh,14
17Networks_LH_ContA_IPS_4-lh,12
17Networks_LH_ContA_IPS_5-lh,12
17Networks_LH_ContA_PFCd_1-lh,14
17Networks_LH_ContA_PFCl_1-lh,16
17Networks_LH_ContA_PFCl_2-lh,21
17Networks_LH_ContA_PFCl_3-lh,10
17Networks_LH_ContA_PFClv_1-lh,10
17Networks_LH_ContA_PFClv_2-lh,12
17Networks_LH_ContA_Temp_1-lh,14
17Networks_LH_ContB_IPL_1-lh,11
17Networks_LH_ContB_IPL_2-lh,13
17Networks_LH_ContB_IPL_3-lh,9
17Networks_LH_ContB_PFCd_1-lh,7
17Networks_LH_ContB_PFClv_1-lh,13
17Networks_LH_ContB_PFClv_2-lh,8
17Networks_LH_ContB_PFClv_3-lh,10
17Networks_LH_ContB_PFCmp_1-lh,14
17Networks_LH_ContB_Temp_1-lh,11
17Networks_LH_ContB_Temp_2-lh,10
17Networks_LH_ContC_Cingp_1-lh,10
17Networks_LH_ContC_Cingp_2-lh,12
17Networks_LH_ContC_pCun_1-lh,10
17Networks_LH_ContC_pCun_2-lh,10
17Networks_LH_ContC_pCun_3-lh,10
17Networks_LH_DefaultA_IPL_1-lh,16
17Networks_LH_DefaultA_IPL_2-lh,8
17Networks_LH_DefaultA_PFCd_1-lh,11
17Networks_LH_DefaultA_PFCd_2-lh,9
17Networks_LH_DefaultA_PFCd_3-lh,10
17Networks_LH_DefaultA_PFCm_1-lh,10
17Networks_LH_DefaultA_PFCm_2-lh,18
17Networks_LH_DefaultA_PFCm_3-lh,9
17Networks_LH_DefaultA_PFCm_4-lh,13
17Networks_LH_DefaultA_PFCm_5-lh,10
17Networks_LH_DefaultA_PFCm_6-lh,13
17Networks_LH_DefaultA_pCunPCC_1-lh,10
17Networks_LH_DefaultA_pCunPCC_2-lh,12
17Networks_LH_DefaultA_pCunPCC_3-lh,12
17Networks_LH_DefaultA_pCunPCC_4-lh,9
17Networks_LH_DefaultA_pCunPCC_5-lh,6
17Networks_LH_DefaultA_pCunPCC_6-lh,6
17Networks_LH_DefaultA_pCunPCC_7-lh,11
17Networks_LH_DefaultB_IPL_1-lh,12
17Networks_LH_DefaultB_IPL_2-lh,13
17Networks_LH_DefaultB_PFCd_1-lh,18
17Networks_LH_DefaultB_PFCd_2-lh,13
17Networks_LH_DefaultB_PFCd_3-lh,10
17Networks_LH_DefaultB_PFCd_4-lh,7
17Networks_LH_DefaultB_PFCd_5-lh,13
17Networks_LH_DefaultB_PFCd_6-lh,12
17Networks_LH_DefaultB_PFCl_1-lh,13
17Networks_LH_DefaultB_PFCl_2-lh,10
17Networks_LH_DefaultB_PFCv_1-lh,15
17Networks_LH_DefaultB_PFCv_2-lh,7
17Networks_LH_DefaultB_PFCv_3-lh,8
17Networks_LH_DefaultB_PFCv_4-lh,12
17Networks_LH_DefaultB_PFCv_5-lh,10
17Networks_LH_DefaultB_Temp_1-lh,14
17Networks_LH_DefaultB_Temp_2-lh,11
17Networks_LH_DefaultB_Temp_3-lh,10
17Networks_LH_DefaultB_Temp_4-lh,16
17Networks_LH_DefaultB_Temp_5-lh,16
17Networks_LH_DefaultB_Temp_6-lh,11
17Networks_LH_DefaultC_IPL_1-lh,13
17Networks_LH_DefaultC_PHC_1-lh,10
17Networks_LH_DefaultC_PHC_2-lh,19
17Networks_LH_DefaultC_PHC_3-lh,7
17Networks_LH_DefaultC_Rsp_1-lh,6
17Networks_LH_DefaultC_Rsp_2-lh,11
17Networks_LH_DefaultC_Rsp_3-lh,12
17Networks_LH_DorsAttnA_ParOcc_1-lh,13
17Networks_LH_DorsAttnA_ParOcc_2-lh,6
17Networks_LH_DorsAttnA_SPL_1-lh,10
17Networks_LH_DorsAttnA_SPL_2-lh,9
17Networks_LH_DorsAttnA_SPL_3-lh,9
17Networks_LH_DorsAttnA_SPL_4-lh,9
17Networks_LH_DorsAttnA_SPL_5-lh,10
17Networks_LH_DorsAttnA_SPL_6-lh,16
17Networks_LH_DorsAttnA_SPL_7-lh,11
17Networks_LH_DorsAttnA_TempOcc_1-lh,11
17Networks_LH_DorsAttnA_TempOcc_2-lh,10
17Networks_LH_DorsAttnA_TempOcc_3-lh,15
17Networks_LH_DorsAttnA_TempOcc_4-lh,11
17Networks_LH_DorsAttnB_FEF_1-lh,10
17Networks_LH_DorsAttnB_FEF_2-lh,10
17Networks_LH_DorsAttnB_FEF_3-lh,9
17Networks_LH_DorsAttnB_PostC_1-lh,12
17Networks_LH_DorsAttnB_PostC_2-lh,11
17Networks_LH_DorsAttnB_PostC_3-lh,15
17Networks_LH_DorsAttnB_PostC_4-lh,8
17Networks_LH_DorsAttnB_PostC_5-lh,19
17Networks_LH_DorsAttnB_PostC_6-lh,12
17Networks_LH_DorsAttnB_PostC_7-lh,10
17Networks_LH_DorsAttnB_PostC_8-lh,12
17Networks_LH_DorsAttnB_PostC_9-lh,7
17Networks_LH_DorsAttnB_PrCv_1-lh,10
17Networks_LH_LimbicA_TempPole_1-lh,13
17Networks_LH_LimbicA_TempPole_2-lh,11
17Networks_LH_LimbicA_TempPole_3-lh,14
17Networks_LH_LimbicA_TempPole_4-lh,15
17Networks_LH_LimbicA_TempPole_5-lh,14
17Networks_LH_LimbicA_TempPole_6-lh,15
17Networks_LH_LimbicA_TempPole_7-lh,10
17Networks_LH_LimbicB_OFC_1-lh,15
17Networks_LH_LimbicB_OFC_2-lh,17
17Networks_LH_LimbicB_OFC_3-lh,16
17Networks_LH_LimbicB_OFC_4-lh,13
17Networks_LH_LimbicB_OFC_5-lh,14
17Networks_LH_SalVentAttnA_FrMed_1-lh,18
17Networks_LH_SalVentAttnA_FrMed_2-lh,13
17Networks_LH_SalVentAttnA_FrMed_3-lh,8
17Networks_LH_SalVentAttnA_FrOper_1-lh,11
17Networks_LH_SalVentAttnA_FrOper_2-lh,13
17Networks_LH_SalVentAttnA_Ins_1-lh,23
17Networks_LH_SalVentAttnA_Ins_2-lh,11
17Networks_LH_SalVentAttnA_Ins_3-lh,16
17Networks_LH_SalVentAttnA_Ins_4-lh,9
17Networks_LH_SalVentAttnA_ParMed_1-lh,15
17Networks_LH_SalVentAttnA_ParMed_2-lh,11
17Networks_LH_SalVentAttnA_ParMed_3-lh,10
17Networks_LH_SalVentAttnA_ParOper_1-lh,13
17Networks_LH_SalVentAttnA_ParOper_2-lh,12
17Networks_LH_SalVentAttnA_ParOper_3-lh,10
17Networks_LH_SalVentAttnB_Ins_1-lh,8
17Networks_LH_SalVentAttnB_Ins_2-lh,11
17Networks_LH_SalVentAttnB_Ins_3-lh,8
17Networks_LH_SalVentAttnB_OFC_1-lh,7
17Networks_LH_SalVentAttnB_PFCl_1-lh,10
17Networks_LH_SalVentAttnB_PFCl_2-lh,12
17Networks_LH_SalVentAttnB_PFCl_3-lh,11
17Networks_LH_SalVentAttnB_PFCmp_1-lh,14
17Networks_LH_SomMotA_1-lh,13
17Networks_LH_SomMotA_10-lh,12
17Networks_LH_SomMotA_11-lh,11
17Networks_LH_SomMotA_12-lh,17
17Networks_LH_SomMotA_13-lh,9
17Networks_LH_SomMotA_14-lh,16
17Networks_LH_SomMotA_15-lh,18
17Networks_LH_SomMotA_16-lh,12
17Networks_LH_SomMotA_17-lh,14
17Networks_LH_SomMotA_18-lh,10
17Networks_LH_SomMotA_19-lh,6
17Networks_LH_SomMotA_2-lh,11
17Networks_LH_SomMotA_3-lh,11
17Networks_LH_SomMotA_4-lh,17
17Networks_LH_SomMotA_5-lh,7
17Networks_LH_SomMotA_6-lh,8
17Networks_LH_SomMotA_7-lh,6
17Networks_LH_SomMotA_8-lh,9
17Networks_LH_SomMotA_9-lh,21
17Networks_LH_SomMotB_Aud_1-lh,14
